playerid,yearid,stint,teamid,lgid,g,ab,r,h,b,v11,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
hodgegi01,1959,1,LAN,NL,124,413,57,114,19,2,25,80,3,2,58,92,6,3,3,3,13
housefr03,1959,1,KC1,AL,98,347,32,82,14,3,1,30,0,3,20,23,6,2,2,0,10
howarel01,1959,1,NYA,AL,125,443,59,121,24,6,18,73,0,1,20,57,4,3,4,4,12
jenseja01,1959,1,BOS,AL,148,535,101,148,31,0,28,112,20,5,88,67,3,0,1,12,20
joneswi01,1959,3,CIN,NL,72,233,33,58,12,1,7,31,0,2,28,26,1,1,1,2,8
kalinal01,1959,1,DET,AL,136,511,86,167,19,2,27,94,10,4,72,42,12,4,2,6,11
kaskoed01,1959,1,CIN,NL,118,329,39,93,14,1,2,31,2,2,14,38,5,0,1,3,5
keougma01,1959,1,BOS,AL,96,251,40,61,13,5,7,27,3,1,26,40,0,3,4,1,3
killeha01,1959,1,WS1,AL,153,546,98,132,20,2,42,105,3,2,90,116,1,7,0,4,12
kirklwi01,1959,1,SFN,NL,126,463,64,126,22,3,22,68,5,3,42,84,3,3,0,3,6
klausbi01,1959,1,BAL,AL,104,321,33,80,11,0,3,25,2,4,51,38,1,0,3,2,6
koppejo01,1959,1,PHI,NL,126,422,68,110,18,7,7,28,7,7,41,80,0,2,4,3,6
kubekto01,1959,1,NYA,AL,132,512,67,143,25,7,6,51,3,3,24,46,3,2,13,2,11
kuennha01,1959,1,DET,AL,139,561,99,198,42,7,9,71,7,2,48,37,1,1,3,4,6
landiji01,1959,1,CHA,AL,149,515,78,140,26,7,5,60,20,9,78,68,5,8,13,9,5
landrho01,1959,1,SFN,NL,109,283,30,71,14,0,3,29,0,4,43,23,7,0,5,4,6
larkeno01,1959,1,LAN,NL,108,311,37,90,14,1,8,49,0,1,26,25,1,2,8,4,12
lemonji01,1959,1,WS1,AL,147,531,73,148,18,3,33,100,5,2,46,99,0,1,0,6,9
lepcite01,1959,2,DET,AL,76,215,25,60,8,0,7,24,2,0,17,49,2,0,2,0,7
loganjo01,1959,1,ML1,NL,138,470,59,137,17,0,13,50,1,3,57,45,9,3,6,4,12
